User ID,Username,Tweet,Retweet Count,Mention Count,Follower Count,Verified,Bot Label,Location,Created At,Hashtags
human_166168978,account,profile,3790,800,1240,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
human_227545922,account,profile,24750,349,3108,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
bot_2782795854,account,profile,6670,520,2394,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
human_518568504,account,profile,2724,98,47878,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
human_1708118976,account,profile,2241,786,706,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
human_912759481766957057,account,profile,1602,200,6096,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
human_713273353,account,profile,1314,186,4640,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
human_1200019921,account,profile,7926,24,19336,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
human_17214825,account,profile,4626,96,3628,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
human_208748836,account,profile,2090,518,520,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
human_250263881,account,profile,682,110,3049,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
bot_957391562043895808,account,profile,3982,464,1584,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
human_1029994225,account,profile,49308,188,4622,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
bot_1069875231924338688,account,profile,17368,1216,1599,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
bot_1917328862,account,profile,45228,4,4670,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
human_612834596,account,profile,5694,534,1699,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
bot_935758766066331648,account,profile,2898,468,1501,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
human_319785911,account,profile,4208,305,5456,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
bot_1081252104742756352,account,profile,575,410,482,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
human_2590835076,account,profile,25184,158,33380,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
human_255370956,account,profile,2408,398,1968,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
human_1142711,account,profile,45228,4,4670,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
human_1671848557,account,profile,23154,920,10034,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
human_343041182,account,profile,4626,0,42672,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
bot_983833196092674048,account,profile,1918,351,12128,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
bot_3922351113,account,profile,13302,68,6743,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
bot_748917167006113792,account,profile,6657,244,6683,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
bot_957420619494240257,account,profile,2428,150,1494,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
human_107773039,account,profile,5490,91,3424,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
bot_2216213125,account,profile,9906,120,19074,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
human_191049947,account,profile,3562,462,1452,False,0,,Wed Jun 05 00:00:00 +0000 2019,none
bot_1067527987531268097,account,profile,7243,268,3123,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
bot_904674430416244740,account,profile,17875,632,1440,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
bot_4588875447,account,profile,7926,24,19336,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
bot_926650951129292800,account,profile,250,401,1460,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
bot_703005412610678784,account,profile,3756,98,104250,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
bot_757804429357613056,account,profile,6630,261,5790,False,1,,Wed Jun 05 00:00:00 +0000 2019,none
